	PGS000706	PGS000957	PGS000958	PGS001320	PGS002777	PGS002778	PGS002994	PGS002995	PGS002996	PGS002997	PGS002998	PGS002999	PGS003000	PGS003001	PGS003002	PGS003003	PGS003004	PGS003005	PGS003006	PGS003007	PGS003008	PGS003009	PGS003010	PGS003011	PGS003012	PGS003013	PGS003014	PGS003015	PGS003016	PGS003017	PGS003018	PGS003019	PGS003020	PGS003021	PGS003022	PGS003023	PGS003024	PGS003025	PGS003026	PGS003027	PGS003028	PGS004191	PGS004193	PGS004194	PGS004195	PGS004455	PGS004456	PGS004525	PGS004526
hu2E413D	2.1336276825344553	0.26238148310259984	0.33624962895000005	0.3254670691803999	0.3417909999999994	0.11858348022099983	0.25348245262894864	0.54108925	0.6144815799999999	-0.15384238802545322	0.021129046115882715	0.928591302821187	0.12189406299999997	0.13637893199999998	0.01010816277845778	-0.06274431042470896	-0.0045043721597305	-1.9874	-10.882100000000001	2.2544799999999995e-05	-0.022673859617353	0.0	-0.7183999999999999	-3.3712	-2.0625121000000097e-06	0.0007327060390650095	1.042447638019125	0.292631166	0.283214626	0.041959891261573574	0.1202272892086846	-0.020127676739761194	-0.1192	-0.1192	1.994584e-05	0.0017931500128400058	-0.03155001757135319	0.0	0.0	1.413018e-05	-0.020676488331240004	0.3006553401888875	0.43180175104042967	0.26829514210361677	0.005043766915660913	-0.19822398422795953	0.017881437207184266	0.004091563888623607	0.030774131321984817
hu2FBC1E	2.3812183197698866	0.6671252325882999	0.48556105355	0.2534458180504001	-0.9114189999999998	0.009188373722099977	0.13211201965000247	-0.1562540699999999	-0.1336987799999999	0.26159457352718274	0.08282557068265974	0.5103238582229969	-0.049866914000000026	-0.05166339999999997	-0.010029556809518352	-0.14980441908278266	-0.001925791888994872	-0.6539	5.0878	3.927169699999999e-05	-0.007798715190142998	0.0	-1.0415	1.4998	3.91037317e-05	0.0015269137257400015	1.465282076461871	0.33131399500000003	0.316805387	0.09845607732465733	0.15607459796859474	0.05908485380000666	0.0	0.0	1.994584e-05	0.0143721953939	-0.030158272016341355	0.0	0.0	1.413018e-05	-0.011921082128936	0.38085377520118857	0.5536323299974008	0.27469686096942936	-0.046313676390375355	0.3597292166855304	0.2903701173034428	0.06790165602098719	0.06340623213050557
hu3C8DE9	2.1663645586785156	0.22751890872699998	0.24620215118	0.1773322381342997	-2.7130849999999995	-0.40253619695342013	0.1908123612811067	-0.2595623800000001	-0.14768109999999984	-0.2705140847866354	0.03258518862137426	0.5221368618379127	-0.08575533099999999	-0.08874201799999998	0.058170237241724036	-0.07096811185839859	-0.0006468098317168718	-0.6789000000000001	-2.6572999999999993	3.4103611e-05	0.007278788216741996	0.0	-1.1274	-2.5317	3.5398022700000004e-05	0.02075928365399201	1.1288463896665868	0.233388121	0.22090434700000003	0.021406670142109868	0.14980533343042193	0.046458806808886734	0.0	0.0	1.994584e-05	0.018164155112293995	0.04045616465593613	0.0	0.0	1.413018e-05	0.010673707885144003	0.17402338870064843	0.37969065726484275	0.28242589680097896	-0.009513445251111946	0.10437730972738506	0.27020832438507225	0.030065260002038872	0.057697764471662714
hu3E50D4	2.1571189076845085	0.37502986287629975	0.4158989628720001	0.5595981183358001	-0.4337660000000003	0.03476025961300019	0.1908302962126436	0.6413747499999998	0.6762667099999999	-0.3025856864411091	0.23493315620682886	1.5415840404084917	0.159621779	0.17846202100000003	0.15187703497553662	0.09465415177981315	-0.00145661815843167	0.10579999999999967	0.6392000000000007	8.1547395e-05	-0.010916554490402002	0.0	-0.6900999999999999	-1.621500000000001	8.35430388e-05	0.0007160151910749982	1.4298650425514898	0.305594241	0.29804150900000004	0.08221251529486925	0.12151546737578442	0.19303184345377675	0.0	0.0	1.994584e-05	0.021796783701464005	0.15337704113031858	0.0	0.0	1.413018e-05	-0.004070555145629996	0.26400518346632296	0.42062168292722446	0.28454889324479987	0.029729593316193285	0.037639366122606766	0.1615516575972489	0.03572884589384	0.05933490276755476
hu04DF3C	1.4506515937296527	0.6060217032602998	0.714760334373	-0.1288309837402004	0.7201459999999993	-0.10254019590741988	0.228766215601432	0.60143799	0.5869325900000001	-0.2008507962710851	0.2416432879366728	0.8417989492841733	0.005401260999999977	0.010611059000000006	0.07845902044070173	-0.11939674549170798	-0.0114282456950251	-1.888	-5.891499999999999	2.3956534999999992e-05	-0.040601628694011994	-0.0014656879913434	-1.9955	-7.534600000000001	3.580263e-05	-0.021072481621795997	1.0380276355515732	0.21187271199999996	0.20735296299999997	0.03260381839713752	0.17909267596755352	0.004194423831896672	-0.1314	-0.1314	1.994584e-05	-0.031261659448242	-0.004739061803097397	-0.132	-0.132	1.413018e-05	-0.043089121726255994	0.29094592967967825	0.382759233383418	0.27385553496157267	-0.012707882047706162	-0.2920161353517223	-0.22152969128983263	0.0023213085697240537	-0.005363552996824078
hu4A6650	1.0654809751458618	-0.013089432361700126	-0.04791040637499985	0.09987927344339997	1.6664919999999999	0.1868360874579999	0.1494535086764403	0.6958406300000001	0.72185619	-0.36373681205897557	0.1252721948376808	0.968148815604702	0.18869074700000002	0.18926119199999997	0.0687596210744498	-0.01461253429414537	-0.0243532360177091	-0.24119999999999964	10.8498	7.1526923e-05	-0.030153912404740003	-0.0029313759826868	-0.5468	2.8363999999999994	9.11469027e-05	-0.021046720868213995	1.1057171549500504	0.233035471	0.22367018800000008	0.01605894686746989	0.18223581171362066	0.06884393354105857	-0.2628	-0.2628	1.994584e-05	-0.025489712643866	0.13984546143831986	-0.264	-0.264	1.413018e-05	-0.022711104224079993	0.09910178579178272	0.4188700571494699	0.2830813939730955	-0.020074551753478352	0.547043184872819	0.26447858146337205	0.1399200661146998	0.10269429922928505
hu4AE0F2	4.458353302034247	0.5216923231313	0.6697228823559997	1.1469559334044	4.255916	0.5851603239447002	0.6021244614377916	0.7842185099999999	1.0549820800000003	0.4915672143817662	0.6161451235205488	0.7150271637984538	-0.125584621	-0.08990678000000003	0.014338818723987198	-0.22494833124902067	-0.0006023113720749719	-0.2057	2.7789999999999986	9.83849e-06	-0.015533634271462001	0.0	-0.38099999999999995	-0.297199999999999	6.363902599999997e-06	0.00020597877266500392	1.4112253294741006	0.301884043	0.31032727	0.036186166585472836	0.21668782906776213	0.013251643032169462	0.0	0.0	1.994584e-05	0.011340555921103996	-0.014758909038906382	0.0	0.0	1.413018e-05	-0.002518681942869993	0.42188981058514174	0.5562355494769009	0.3565430159588275	-0.045973176513227784	0.567077711212876	0.5930565799907037	0.15637820497403826	0.15083720117425345
hu4BF398	2.559018266664453	0.009586667907000024	-0.20573598144199987	0.33620512471599995	0.26566	-0.00594772587740015	0.6889180538043261	1.33030723	1.3736776899999998	-0.10905729942125826	0.41420962041853304	0.7535952748295633	-0.020525640999999997	-0.01811267700000005	0.03835363247648147	-0.09727929790562748	-0.0027521967399109686	-1.0557999999999998	0.16049999999999875	3.891339199999999e-05	-0.0007701817242270021	0.0	-0.9767999999999999	0.8263000000000007	6.166504080000002e-05	0.022115574448066007	1.3463341381296616	0.258563024	0.255631717	0.027849717401560285	0.1453696052616268	0.06643685085099471	0.0	0.0	9.97292e-06	0.023175053991199998	0.13910876341489534	0.0	0.0	7.06509e-06	0.0008176719654899986	0.3585418709831911	0.45528729462451867	0.32059558411871225	0.05886364728252134	-0.17900819982603752	-0.08097680072850272	0.03378088103649751	0.029039077824937285
hu4DB380	1.8920926183033202	0.5281800300449998	0.434542382841	0.41341361499089957	-1.3675490000000003	-0.21965392542440054	-0.23548297045546	-0.5763032399999994	-0.4687013299999996	-0.15089881302815317	-0.1795714183083251	1.358762316636347	0.13883922599999998	0.16206599099999996	0.04300738745478352	-0.07517004999835042	-0.004189840729802472	-2.6115	5.763599999999999	1.6051347e-05	-0.03780195473182	0.0	-1.6591999999999993	7.5629	1.7249412800000004e-05	-0.005407043849561997	0.7296182861340922	0.13328342	0.12464017400000002	0.03240247300653327	0.0741953844254033	-0.1561271505157507	0.0	0.0	1.994584e-05	-0.011801245216682004	-0.0758370420764661	0.0	0.0	1.413018e-05	-0.01825241778945	0.40279133293059455	0.5512743870930834	0.2838785803583159	-0.04887970997994116	-0.13248259406461382	0.10735591566039097	0.01728202385087151	0.05709859493422736
hu05FD49	1.5113048153714517	0.34801084403599997	0.511493497697	-0.08291512619599996	-3.407456	-0.33460119237789965	0.36825650429528245	0.78482105	0.77917778	-0.2105322410126864	0.08004705750940681	0.9321613127906521	0.11192724599999998	0.11725251799999999	0.05513115591692994	-0.013321297959679072	-0.002448983922264072	0.06319999999999998	-3.1218999999999997	1.2767752e-05	-0.008498372857033002	0.0	0.20820000000000016	2.230699999999999	2.6577932899999994e-05	0.014398125409553998	0.8557467873820076	0.21939384299999998	0.217112886	0.03880853298155661	0.1028369035759636	0.09744394983282464	0.0	0.0	1.994584e-05	0.008122265690953999	0.1705364658666435	0.0	0.0	1.413018e-05	-0.00776451465639	0.3280490659693185	0.4741520151920122	0.3116195920712793	0.008368783556240357	-0.10838507137034704	0.3076678413201409	-0.01631057558361965	0.052478052074221376
